run,model,attr,DPD,EOD,FPRD,ECE,accuracy,precision,recall,f1,auroc
baseline,logistic_regression,sex,0.1908533503755619,0.13359100360280485,0.0815878963824117,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,logistic_regression,race,0.28706240487062407,0.6666666666666667,0.1579340200029855,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,logistic_regression,age,0.23074075994964474,0.09520952095209512,0.09094039886573047,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,logistic_regression,marital.status,0.42802669208770255,0.6690871369294605,0.22310405643738976,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,logistic_regression,education,0.7692307692307693,0.889763779527559,0.5833333333333334,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,logistic_regression,relationship,0.44572649572649575,0.6732788798133023,0.27586206896551724,0.010161138132009308,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
baseline,random_forest,sex,0.20203285620441408,0.07401047748090883,0.09782384892753172,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,random_forest,race,0.24126984126984125,0.7777777777777778,0.11494252873563218,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,random_forest,age,0.2955456647162644,0.32613261326132614,0.12703221127979603,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,random_forest,marital.status,0.44518589132507147,0.6887966804979253,0.23809523809523808,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,random_forest,education,0.8717948717948718,0.9516129032258065,0.5833333333333334,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,random_forest,relationship,0.4521880064829822,0.690781796966161,0.24647887323943662,0.017275138121546983,0.8492817679558011,0.7206759443339961,0.6438721136767318,0.6801125703564728,0.9012920161974293
baseline,gradient_boosting,sex,0.17474011047143334,0.09766285989022994,0.060705668221775574,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,race,0.22039573820395736,0.6666666666666667,0.10306015823257203,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,age,0.26397303698534763,0.2933059880573693,0.10031683652119218,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,marital.status,0.38798856053384173,0.6618257261410788,0.15520282186948853,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,education,0.765625,0.8818897637795275,0.5833333333333334,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,relationship,0.3829369202140677,0.6651108518086347,0.15517241379310345,0.019127663941846496,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.921952674410037
mitigated,reweigh,sex,0.043993594903018844,0.02807939907463486,0.009983887147013846,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,reweigh,race,0.07285641806189752,0.2916666666666667,0.034154351395730705,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,reweigh,age,0.10727998252338991,0.1688168816881688,0.021255857836830493,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,reweigh,marital.status,0.12964728312678742,0.3333333333333333,0.05982905982905983,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,reweigh,education,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,reweigh,relationship,0.11515397082658024,0.4,0.039308102952977986,0.0798044511403692,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101
mitigated,expgrad,sex,0.03804797850825238,0.01640306456950541,0.007523361438623508,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,expgrad,race,0.06489091831557585,0.25,0.034154351395730705,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,expgrad,age,0.08830245851269648,0.13311331133113313,0.023089558950046916,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,expgrad,marital.status,0.109628217349857,0.3333333333333333,0.05982905982905983,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,expgrad,education,0.34615384615384615,0.41935483870967744,0.08333333333333333,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,expgrad,relationship,0.09562167827970097,0.3,0.027674718833230597,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,cal_eq_odds,sex,0.03411186547335414,0.011926095671014603,0.002430483554118743,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,race,0.05925925925925926,0.16666666666666666,0.008394543546694649,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,age,0.0832512152687736,0.13331333133313333,0.013570167983136707,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,marital.status,0.07626310772163966,0.3333333333333333,0.012345679012345678,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,education,0.21794871794871795,0.3333333333333333,0.015873015873015872,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,relationship,0.0788762830902215,0.2283464566929134,0.017241379310344827,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
advanced,fair_reg_logreg,sex,0.004148249561688501,0.04393923310834015,0.00018464933844978084,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,race,0.023809523809523808,0.1111111111111111,0.001049317943336831,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,age,0.02468335431469528,0.04230423042304231,0.0017921146953405018,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,marital.status,0.0219256434699714,0.2222222222222222,0.0018018018018018018,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,education,0.07692307692307693,0.0967741935483871,0.0022624434389140274,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,relationship,0.031818181818181815,0.2,0.008620689655172414,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
