run,model,attr,EO_enforced,DPD,EOD,FPRD,ECE_overall,ECE_range,ECE_std,accuracy,f1,auroc
baseline,logistic_regression,sex,False,0.1908533503755619,0.13359100360280485,0.0815878963824117,0.010161138132009308,0.005540920537214038,0.002770460268607019,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,logistic_regression,race,False,0.28706240487062407,0.6666666666666667,0.1579340200029855,0.010161138132009308,0.15587633302206536,0.05645710848027689,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,logistic_regression,age,False,0.23074075994964474,0.09520952095209512,0.09094039886573047,0.010161138132009308,0.020413971897812095,0.008338077393095271,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,logistic_regression,marital.status,False,0.42802669208770255,0.6690871369294605,0.22310405643738976,0.010161138132009308,0.4672829995502339,0.15782035658322321,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,logistic_regression,education,False,0.7692307692307693,0.889763779527559,0.5833333333333334,0.010161138132009308,0.1399986113770415,0.036587304517619074,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,logistic_regression,relationship,False,0.44572649572649575,0.6732788798133023,0.27586206896551724,0.010161138132009308,0.052002295793315154,0.020905171528913327,0.8441988950276244,0.6589259796806967,0.89513659069092
baseline,random_forest,sex,False,0.20203285620441408,0.07401047748090883,0.09782384892753172,0.017275138121546983,0.01655193244788617,0.008275966223943085,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,random_forest,race,False,0.24126984126984125,0.7777777777777778,0.11494252873563218,0.017275138121546983,0.08284663323253925,0.03515159318601422,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,random_forest,age,False,0.2955456647162644,0.32613261326132614,0.12703221127979603,0.017275138121546983,0.030984996361658967,0.012724816874098295,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,random_forest,marital.status,False,0.44518589132507147,0.6887966804979253,0.23809523809523808,0.017275138121546983,0.651515047879617,0.2189169104946407,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,random_forest,education,False,0.8717948717948718,0.9516129032258065,0.5833333333333334,0.017275138121546983,0.07262618987975952,0.021716923763366064,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,random_forest,relationship,False,0.4521880064829822,0.690781796966161,0.24647887323943662,0.017275138121546983,0.04803256036238209,0.01728428980434615,0.8492817679558011,0.6801125703564728,0.9012920161974293
baseline,gradient_boosting,sex,False,0.17474011047143334,0.09766285989022994,0.060705668221775574,0.019127663941846496,0.0019834831389339558,0.0009917415694669779,0.8638674033149172,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,race,False,0.22039573820395736,0.6666666666666667,0.10306015823257203,0.019127663941846496,0.07312746596534636,0.028993853060552615,0.8638674033149172,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,age,False,0.26397303698534763,0.2933059880573693,0.10031683652119218,0.019127663941846496,0.013410341177330535,0.0055938288015872925,0.8638674033149172,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,marital.status,False,0.38798856053384173,0.6618257261410788,0.15520282186948853,0.019127663941846496,0.5381923853239019,0.18355856880362809,0.8638674033149172,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,education,False,0.765625,0.8818897637795275,0.5833333333333334,0.019127663941846496,0.1108004640412187,0.025856315971926953,0.8638674033149172,0.6904522613065327,0.921952674410037
baseline,gradient_boosting,relationship,False,0.3829369202140677,0.6651108518086347,0.15517241379310345,0.019127663941846496,0.040499477436728104,0.014195990994644001,0.8638674033149172,0.6904522613065327,0.921952674410037
mitigated,reweigh,sex,False,0.043993594903018844,0.02807939907463486,0.009983887147013846,0.0798044511403692,0.0944433368036013,0.04722166840180065,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,reweigh,race,False,0.07285641806189752,0.2916666666666667,0.034154351395730705,0.0798044511403692,0.16527009678692706,0.06041121831075262,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,reweigh,age,False,0.10727998252338991,0.1688168816881688,0.021255857836830493,0.0798044511403692,0.10984256337033635,0.05018461557628081,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,reweigh,marital.status,False,0.12964728312678742,0.3333333333333333,0.05982905982905983,0.0798044511403692,0.2218518785958178,0.06974117213875587,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,reweigh,education,False,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.0798044511403692,0.3827535149377575,0.0915049498587717,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,reweigh,relationship,False,0.11515397082658024,0.4,0.039308102952977986,0.0798044511403692,0.09150290971020256,0.034036902950318894,0.7838674033149171,0.3497340425531915,0.6158153296576101
mitigated,expgrad,sex,False,0.03804797850825238,0.01640306456950541,0.007523361438623508,0.22121546961325966,0.16208121976720247,0.08104060988360122,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,expgrad,race,False,0.06489091831557585,0.25,0.034154351395730705,0.22121546961325966,0.19814814814814818,0.07274779091538909,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,expgrad,age,False,0.08830245851269648,0.13311331133113313,0.023089558950046916,0.22121546961325966,0.21622825835836168,0.1015232098835248,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,expgrad,marital.status,False,0.109628217349857,0.3333333333333333,0.05982905982905983,0.22121546961325966,0.4487004103967168,0.16437640261579595,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,expgrad,education,False,0.34615384615384615,0.41935483870967744,0.08333333333333333,0.22121546961325966,0.671875,0.18884374224579778,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,expgrad,relationship,False,0.09562167827970097,0.3,0.027674718833230597,0.22121546961325966,0.38772338772338777,0.16374016807272462,0.7787845303867403,0.3120274914089347,0.5857948764577608
mitigated,cal_eq_odds,sex,True,0.03411186547335414,0.011926095671014603,0.002430483554118743,0.007907061562261314,0.05465270123971139,0.027326350619855694,0.7851933701657459,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,race,True,0.05925925925925926,0.16666666666666666,0.008394543546694649,0.007907061562261314,0.16511968138397698,0.05397768759617579,0.7851933701657459,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,age,True,0.0832512152687736,0.13331333133313333,0.013570167983136707,0.007907061562261314,0.07153557490220026,0.032527323494705274,0.7851933701657459,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,marital.status,True,0.07626310772163966,0.3333333333333333,0.012345679012345678,0.007907061562261314,0.33890107813922177,0.10409936497786414,0.7851933701657459,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,education,True,0.21794871794871795,0.3333333333333333,0.015873015873015872,0.007907061562261314,0.4662015367833788,0.11772130761459698,0.7851933701657459,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,relationship,True,0.0788762830902215,0.2283464566929134,0.017241379310344827,0.007907061562261314,0.09480742986264243,0.02952818179287618,0.7851933701657459,0.2702702702702703,0.6190959936497884
advanced,fair_reg_logreg,sex,False,0.004148249561688501,0.04393923310834015,0.00018464933844978084,0.23646408839779007,0.19574385494853014,0.09787192747426508,0.7635359116022099,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,race,False,0.023809523809523808,0.1111111111111111,0.001049317943336831,0.23646408839779007,0.32037037037037036,0.11029148608285888,0.7635359116022099,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,age,False,0.02468335431469528,0.04230423042304231,0.0017921146953405018,0.23646408839779007,0.262573493703234,0.12127623413274419,0.7635359116022099,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,marital.status,False,0.0219256434699714,0.2222222222222222,0.0018018018018018018,0.23646408839779007,0.4575923392612859,0.18120801573606338,0.7635359116022099,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,education,False,0.07692307692307693,0.0967741935483871,0.0022624434389140274,0.23646408839779007,0.765625,0.2371792944151066,0.7635359116022099,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,relationship,False,0.031818181818181815,0.2,0.008620689655172414,0.23646408839779007,0.4386039886039886,0.1911322342939931,0.7635359116022099,0.09932659932659933,0.5257576280140905
